id,fragility_model_id,reviewer,source,basis,num_observations,reference_id,edp_metric,edp_unit,ds_rank,ds_description,median,beta,probability
B2011.201a-1,B2011.201a,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,"Cladding units damaged by impact at corners at  column covers.  Damage in field is either attributed to natural edge chipping / damage,  or is deemed to not warrant full repair.  Repair assumes cosmetic chip patching.",,,0.5
B2011.201a-2,B2011.201a,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Cladding units damaged by impact at corners at  column covers.,,,0.5
B2011.201b-1,B2011.201b,NIST,FEMA P-58,'',,FEM-2018-SEI,"Peak Floor Acceleration, horizontal",g,1,Cladding units damaged by out of plane anchorage failure.  Unit requires replacement.,,,1.0
B2022.001-1,B2022.001,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0338,0.4,1.0
B2022.001-2,B2022.001,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.0383,0.4,1.0
B2022.002-1,B2022.002,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.021,0.45,1.0
B2022.002-2,B2022.002,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.024,0.45,1.0
B2022.011-1,B2022.011,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.026,0.25,1.0
B2022.011-2,B2022.011,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.0268,0.25,1.0
B2022.011-3,B2022.011,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.0339,0.25,1.0
B2022.021-1,B2022.021,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0156,0.35,1.0
B2022.021-2,B2022.021,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.0561,0.3,1.0
B2022.022-1,B2022.022,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0392,0.29,1.0
B2022.022-2,B2022.022,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.0434,0.25,1.0
B2022.023-1,B2022.023,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0347,0.26,1.0
B2022.023-2,B2022.023,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.04,0.6,1.0
B2022.031-1,B2022.031,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0138,0.25,1.0
B2022.031-2,B2022.031,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.0219,0.3,1.0
B2022.032-1,B2022.032,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0088,0.25,1.0
B2022.032-2,B2022.032,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.0108,0.25,1.0
B2022.033-1,B2022.033,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0084,0.25,1.0
B2022.033-2,B2022.033,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.0107,0.35,1.0
B2022.034-1,B2022.034,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0147,0.25,1.0
B2022.034-2,B2022.034,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.0164,0.25,1.0
B2022.035-1,B2022.035,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0181,0.25,1.0
B2022.035-2,B2022.035,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.0212,0.25,1.0
B2022.036-1,B2022.036,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.022,0.3,1.0
B2022.036-2,B2022.036,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.0257,0.25,1.0
B2022.037-1,B2022.037,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0288,0.26,1.0
B2022.037-2,B2022.037,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.04,0.6,1.0
B2022.038-1,B2022.038,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0273,0.28,1.0
B2022.038-2,B2022.038,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.0286,0.28,1.0
B2022.039-1,B2022.039,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.027,0.26,1.0
B2022.039-2,B2022.039,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.029,0.26,1.0
B2022.040-1,B2022.040,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.02,0.26,1.0
B2022.040-2,B2022.040,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.023,0.28,1.0
B2022.041-1,B2022.041,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.024,0.25,1.0
B2022.041-2,B2022.041,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.027,0.32,1.0
B2022.051-1,B2022.051,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.043,0.25,1.0
B2022.051-2,B2022.051,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.05,0.25,1.0
B2022.052-1,B2022.052,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.042,0.3,1.0
B2022.052-2,B2022.052,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.052,0.3,1.0
B2022.053-1,B2022.053,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.029,0.3,1.0
B2022.053-2,B2022.053,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.039,0.3,1.0
B2022.054-1,B2022.054,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.033,0.25,1.0
B2022.054-2,B2022.054,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.043,0.25,1.0
B2022.061-1,B2022.061,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.024,0.29,1.0
B2022.061-2,B2022.061,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.025,0.29,1.0
B2022.071-1,B2022.071,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.027,0.3,1.0
B2022.071-2,B2022.071,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.0276,0.3,1.0
B2022.071-3,B2022.071,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.0303,0.3,1.0
B2022.072-1,B2022.072,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.0262,0.3,1.0
B2022.072-2,B2022.072,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.0266,0.3,1.0
B2022.072-3,B2022.072,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.0299,0.3,1.0
B2022.081-1,B2022.081,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0234,0.3,1.0
B2022.081-2,B2022.081,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.031,0.3,1.0
B2022.082-1,B2022.082,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.0142,0.25,1.0
B2022.082-2,B2022.082,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass falls from frame.,0.0221,0.25,1.0
B2022.083-1,B2022.083,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.026,0.11,1.0
B2022.083-2,B2022.083,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.051,0.25,1.0
B2022.083-3,B2022.083,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.054,0.25,1.0
B2022.084-1,B2022.084,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.026,0.11,1.0
B2022.084-2,B2022.084,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.051,0.25,1.0
B2022.084-3,B2022.084,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.054,0.25,1.0
B2022.091-1,B2022.091,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.026,0.11,1.0
B2022.091-2,B2022.091,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.031,0.25,1.0
B2022.091-3,B2022.091,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.032,0.25,1.0
B2022.101-1,B2022.101,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.026,0.3,1.0
B2022.101-2,B2022.101,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.027,0.3,1.0
B2022.101-3,B2022.101,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.028,0.3,1.0
B2022.201-1,B2022.201,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.026,0.45,1.0
B2022.201-2,B2022.201,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.05,0.25,1.0
B2022.201-3,B2022.201,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.1,0.25,1.0
B2023.001-1,B2023.001,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.029,0.5,1.0
B2023.001-2,B2023.001,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.0473,0.25,1.0
B2023.001-3,B2023.001,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.07,0.25,1.0
B2023.002-1,B2023.002,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.0423,0.3,1.0
B2023.002-2,B2023.002,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.059,0.25,1.0
B2023.002-3,B2023.002,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.0665,0.35,1.0
B2023.011-1,B2023.011,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.029,0.5,1.0
B2023.011-2,B2023.011,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.0567,0.3,1.0
B2023.011-3,B2023.011,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.08,0.3,1.0
B2023.021-1,B2023.021,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.0303,0.5,1.0
B2023.021-2,B2023.021,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.0413,0.3,1.0
B2023.021-3,B2023.021,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.051,0.3,1.0
B2023.031-1,B2023.031,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.03,1.0,1.0
B2023.031-2,B2023.031,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Frame Damage,0.052,0.4,1.0
B2023.032-1,B2023.032,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.042,0.55,1.0
B2023.032-2,B2023.032,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Frame Damage,0.05,1.0,1.0
B2023.033-1,B2023.033,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.03,1.0,1.0
B2023.033-2,B2023.033,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Frame Damage,0.05,0.4,1.0
B2023.034-1,B2023.034,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Glass cracking.,0.036,0.75,1.0
B2023.034-2,B2023.034,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Frame Damage,0.05,1.0,1.0
B2023.041-1,B2023.041,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Gasket seal failure.,0.0423,0.3,1.0
B2023.041-2,B2023.041,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracking.,0.059,0.25,1.0
B2023.041-3,B2023.041,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,3,Glass falls out.,0.0665,0.25,1.0
B2023.051-1,B2023.051,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Panel damage (no glass damage).,0.05,0.29,1.0
B2023.051-2,B2023.051,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracks.,0.16,1.0,1.0
B2023.052-1,B2023.052,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Panel damage (no glass damage).,0.054,0.28,1.0
B2023.052-2,B2023.052,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracks.,0.16,1.0,1.0
B2023.053-1,B2023.053,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Panel damage (no glass damage).,0.05,0.28,1.0
B2023.053-2,B2023.053,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracks.,0.16,1.0,1.0
B2023.054-1,B2023.054,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Panel damage (no glass damage).,0.1,0.32,1.0
B2023.054-2,B2023.054,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracks.,0.11,0.32,1.0
B2023.055-1,B2023.055,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Panel damage (no glass damage).,0.055,0.29,1.0
B2023.055-2,B2023.055,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracks.,0.1,0.32,1.0
B2023.056-1,B2023.056,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Panel damage (no glass damage).,0.055,0.32,1.0
B2023.056-2,B2023.056,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracks.,0.1,0.32,1.0
B2023.057-1,B2023.057,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Panel damage (no glass damage).,0.055,0.32,1.0
B2023.057-2,B2023.057,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracks.,0.1,0.32,1.0
B2023.058-1,B2023.058,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,1,Panel damage (no glass damage).,0.09,1.0,1.0
B2023.058-2,B2023.058,NIST,FEMA P-58,'',,FEM-2018-SEI,Story Drift Ratio,Ratio,2,Glass cracks.,0.1,0.32,1.0
B3011.011-1,B3011.011,NIST,FEMA P-58,'',,FEM-2018-SEI,"Peak Floor Acceleration, horizontal",g,1,Minor damage; tiles dislodged.,1.1,0.4,1.0
B3011.011-2,B3011.011,NIST,FEMA P-58,'',,FEM-2018-SEI,"Peak Floor Acceleration, horizontal",g,2,Major portion of tile dislodged.,1.4,0.4,1.0
B3011.012-1,B3011.012,NIST,FEMA P-58,'',,FEM-2018-SEI,"Peak Floor Acceleration, horizontal",g,1,Minor damage; tiles dislodged.,1.4,0.3,1.0
B3011.012-2,B3011.012,NIST,FEMA P-58,'',,FEM-2018-SEI,"Peak Floor Acceleration, horizontal",g,2,Major portion of tile dislodged.,1.7,0.3,1.0
B3011.013-1,B3011.013,NIST,FEMA P-58,'',,FEM-2018-SEI,"Peak Floor Acceleration, horizontal",g,1,Minor damage; tiles dislodged.,0.5,0.4,1.0
B3011.013-2,B3011.013,NIST,FEMA P-58,'',,FEM-2018-SEI,"Peak Floor Acceleration, horizontal",g,2,Major portion of tile dislodged.,0.7,0.4,1.0
B3011.014-1,B3011.014,NIST,FEMA P-58,'',,FEM-2018-SEI,"Peak Floor Acceleration, horizontal",g,1,Minor damage; tiles dislodged.,0.4,0.3,1.0
B3011.014-2,B3011.014,NIST,FEMA P-58,'',,FEM-2018-SEI,"Peak Floor Acceleration, horizontal",g,2,Major portion of tile dislodged.,0.5,0.3,1.0
B3031.001a-1,B3031.001a,NIST,FEMA P-58,'',,FEM-2018-SEI,"Peak Floor Acceleration, horizontal",g,1,"Cracking with offset > 1/16""",0.35,0.6,1.0
B3031.001a-2,B3031.001a,NIST,FEMA P-58,'',,FEM-2018-SEI,"Peak Floor Acceleration, horizontal",g,2,Toppling of all or a portion of the chimney.,0.5,0.6,1.0
B3031.001b-1,B3031.001b,NIST,FEMA P-58,'',,FEM-2018-SEI,"Peak Floor Acceleration, horizontal",g,1,"Cracking with offset > 1/16""",0.35,0.6,1.0
