id,group_id,reviewer,source,basis,num_observations,reference_id,p58_fragility,nistir_id,comp_type,sub_type,detailing,material,size_class,comp_description,edp_metric,edp_unit,ds_rank,ds_description,median,beta,probability
fra1017-3,fra1017,NIST,Literature,Experimental,,TAT-2018-INP,'',C1011,Internal partition walls,'','','',''," The indoor partition wall is surrounded by structural elements on all sides, sliding connections on either horizontal or both horizontal and vertical  sides",Story Drift Ratio,Ratio,3,"Rupture of panel portions (>50 cm2), Collapse of panel‐to‐frame fixings (>5%), Collapse of dowels (>5%), Detachment between indoor partition walls and outdoor  façade walls, Out‐of‐plane collapse of panels,  Wall out‐of‐plane collapse  ",2.1,0.25,
fra1018-1,fra1018,NIST,Literature,Experimental,,TAT-2018-INP,'',C1011,Internal partition walls,'','','',''," The indoor partition wall is surrounded by structural elements at top and bottom, fixed connection at horizontal sides",Story Drift Ratio,Ratio,1,"Drop of gypsum dust, Detachment of joint tape, Crack in joints, Detachment between indoor partition walls and surrounding structural elements (≤5 mm) ",0.78,0.35,
fra1018-2,fra1018,NIST,Literature,Experimental,,TAT-2018-INP,'',C1011,Internal partition walls,'','','',''," The indoor partition wall is surrounded by structural elements at top and bottom, fixed connection at horizontal sides",Story Drift Ratio,Ratio,2,"Detachment between indoor partition walls and surrounding
structural elements (>5 mm), Crack in panels, Corner crushing of panels, Local plastic deformations of studs, Rupture of panel portions (≤50 cm2), Collapse of panel‐to‐frame fixings (≤5%), Collapse of dowels (≤5%)  ",1.18,0.28,
fra1018-3,fra1018,NIST,Literature,Experimental,,TAT-2018-INP,'',C1011,Internal partition walls,'','','',''," The indoor partition wall is surrounded by structural elements at top and bottom, fixed connection at horizontal sides",Story Drift Ratio,Ratio,3,"Rupture of panel portions (>50 cm2), Collapse of panel‐to‐frame fixings (>5%), Collapse of dowels (>5%), Detachment between indoor partition walls and outdoor  façade walls, Out‐of‐plane collapse of panels,  Wall out‐of‐plane collapse  ",1.44,0.39,
fra1019-1,fra1019,NIST,Literature,Experimental,,TAT-2018-INP,'',C1011,Internal partition walls,'','','',''," The indoor partition wall is surrounded by structural elements at top and bottom, sliding connection at horizontal sides",Story Drift Ratio,Ratio,1,"Drop of gypsum dust, Detachment of joint tape, Crack in joints, Detachment between indoor partition walls and surrounding structural elements (≤5 mm) ",0.7,0.39,
fra1019-2,fra1019,NIST,Literature,Experimental,,TAT-2018-INP,'',C1011,Internal partition walls,'','','',''," The indoor partition wall is surrounded by structural elements at top and bottom, sliding connection at horizontal sides",Story Drift Ratio,Ratio,2,"Detachment between indoor partition walls and surrounding
structural elements (>5 mm), Crack in panels, Corner crushing of panels, Local plastic deformations of studs, Rupture of panel portions (≤50 cm2), Collapse of panel‐to‐frame fixings (≤5%), Collapse of dowels (≤5%)  ",1.01,0.25,
fra1019-3,fra1019,NIST,Literature,Experimental,,TAT-2018-INP,'',C1011,Internal partition walls,'','','',''," The indoor partition wall is surrounded by structural elements at top and bottom, sliding connection at horizontal sides",Story Drift Ratio,Ratio,3,"Rupture of panel portions (>50 cm2), Collapse of panel‐to‐frame fixings (>5%), Collapse of dowels (>5%), Detachment between indoor partition walls and outdoor  façade walls, Out‐of‐plane collapse of panels,  Wall out‐of‐plane collapse  ",1.2,0.29,
fra1020-1,fra1020,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',"Full-height commercial-slip tracks: Specimens 1–3, 31, and 32;",Story Drift Ratio,Ratio,1,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.26,0.45,
fra1020-2,fra1020,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',"Full-height commercial-slip tracks: Specimens 1–3, 31, and 32;",Story Drift Ratio,Ratio,2,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.68,0.33,
fra1020-3,fra1020,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',"Full-height commercial-slip tracks: Specimens 1–3, 31, and 32;",Story Drift Ratio,Ratio,3,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",0.75,0.36,
fra1021-1,fra1021,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',"Full-height commercial-partial/full
connections:Specimens 4–10",Story Drift Ratio,Ratio,1,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.27,0.45,
fra1021-2,fra1021,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',"Full-height commercial-partial/full
connections:Specimens 4–10",Story Drift Ratio,Ratio,2,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.61,0.42,
fra1021-3,fra1021,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',"Full-height commercial-partial/full
connections:Specimens 4–10",Story Drift Ratio,Ratio,3,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",1.2,0.59,
fra1022-1,fra1022,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',Full-height commercial-all,Story Drift Ratio,Ratio,1,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.27,0.44,
fra1022-2,fra1022,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',Full-height commercial-all,Story Drift Ratio,Ratio,2,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.64,0.38,
fra1022-3,fra1022,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',Full-height commercial-all,Story Drift Ratio,Ratio,3,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",0.99,0.55,
fra1023-1,fra1023,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',Full-height institutional-slip tracks: Specimens 20–22;,Story Drift Ratio,Ratio,1,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.37,0.62,
fra1023-2,fra1023,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',Full-height institutional-slip tracks: Specimens 20–22;,Story Drift Ratio,Ratio,2,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.79,0.35,
fra1023-3,fra1023,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',"Full-height institutional partial/full
connections: Specimens 23–28",Story Drift Ratio,Ratio,3,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",0.88,0.33,
fra1024-1,fra1024,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',"Full-height institutional partial/full
connections: Specimens 23–28",Story Drift Ratio,Ratio,1,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.4,0.25,
fra1024-2,fra1024,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',"Full-height institutional partial/full
connections: Specimens 23–28",Story Drift Ratio,Ratio,2,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.63,0.46,
fra1024-3,fra1024,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',Full-height institutional-all,Story Drift Ratio,Ratio,3,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",0.93,0.36,
fra1025-1,fra1025,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',Full-height institutional-all,Story Drift Ratio,Ratio,1,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.39,0.38,
fra1025-2,fra1025,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',Full-height institutional-all,Story Drift Ratio,Ratio,2,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.68,0.43,
fra1026-1,fra1026,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',Partial-height: Specimens 17–19 and 48–50,Story Drift Ratio,Ratio,1,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.74,0.29,
fra1026-2,fra1026,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',Partial-height: Specimens 17–19 and 48–50,Story Drift Ratio,Ratio,2,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",1.0,0.33,
fra1026-3,fra1026,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',Partial-height: Specimens 17–19 and 48–50,Story Drift Ratio,Ratio,3,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",1.79,0.28,
fra1027-1,fra1027,NIST,Literature,Experimental,,DAV-2011-EXP,'',C1011,Internal partition walls,'','','','',Improved corner details: Specimens 33–36.,Story Drift Ratio,Ratio,1,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.36,0.8,
fra1028-1,fra1028,NIST,Literature,Experimental,,GOO-2004-EXP,'',D4011,Fire Sprinkler,'','','','',"⅛-inch diameter galvanized 7 x 19 (number of strands x wires per strand) aircraft-grade steel with a specified minimum break strength of 1700 pounds,
The cable support was threaded, and a screw was clamped on top.","Force, tension",Kips,1,failed at the clamped portion of the cable,1.471,0.154,
fra1029-1,fra1029,NIST,Literature,Experimental,,GOO-2004-EXP,'',D4011,Fire Sprinkler,'','','','',5/8 in dia rods - pipe hangers,"Force, tension",Kips,1,Load drops to zero,19.16,0.022,
fra1030-1,fra1030,NIST,Literature,Experimental,,SOR-2013-ANA,'',D4011,Fire Sprinkler,'','','','',gauge 12 wire restrainers,"Force, tension",Kips,1,Load drops to zero,0.596,0.063,
B2011.001a-1,B2011.001a,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.001a,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",Story Drift Ratio,Ratio,1,Sheathing faster pull through or tear out.  (20% of fasteners.),0.004,0.4,1.0
B2011.001a-2,B2011.001a,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.001a,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",Story Drift Ratio,Ratio,2,Failure of structural panels.  ,0.0226,0.3,1.0
B2011.001a-3,B2011.001a,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.001a,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",Story Drift Ratio,Ratio,3,Failure of wall.,0.0267,0.25,1.0
B2011.001b-1,B2011.001b,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.001b,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",Story Drift Ratio,Ratio,1,Sheathing faster pull through or tear out.  (20% of fasteners.),0.004,0.4,1.0
B2011.001b-2,B2011.001b,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.001b,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",Story Drift Ratio,Ratio,2,Failure of structural panels.  ,0.0226,0.3,1.0
B2011.001b-3,B2011.001b,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.001b,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",Story Drift Ratio,Ratio,3,Failure of wall.,0.0267,0.25,1.0
B2011.011a-1,B2011.011a,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.011a,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with flat strap X-bracing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws.",Story Drift Ratio,Ratio,1,Local buckling of chord studs.,0.0139,0.25,1.0
B2011.011a-2,B2011.011a,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.011a,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with flat strap X-bracing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws.",Story Drift Ratio,Ratio,2,Failure of many framing members and collapse.,0.0179,0.25,1.0
B2011.011b-1,B2011.011b,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.011b,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with flat strap X-bracing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws.",Story Drift Ratio,Ratio,1,Local buckling of chord studs.,0.0139,0.25,1.0
B2011.011b-2,B2011.011b,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.011b,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with flat strap X-bracing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws.",Story Drift Ratio,Ratio,2,Failure of many framing members and collapse.,0.0179,0.25,1.0
B2011.021a-1,B2011.021a,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.021a,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field.",Story Drift Ratio,Ratio,1,Pull out of sheathing fasteners from studs.,0.019,0.25,1.0
B2011.021a-2,B2011.021a,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.021a,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field.",Story Drift Ratio,Ratio,2,Buckling of steel sheathing.  Buckling of framing members.,0.0253,0.25,1.0
B2011.021b-1,B2011.021b,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.021b,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field.",Story Drift Ratio,Ratio,1,Pull out of sheathing fasteners from studs.,0.019,0.25,1.0
B2011.021b-2,B2011.021b,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.021b,B2011,Exterior Wall,'','','','',"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field.",Story Drift Ratio,Ratio,2,Buckling of steel sheathing.  Buckling of framing members.,0.0253,0.25,1.0
B2011.101-1,B2011.101,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.101,B2011,Exterior Wall,'','','','',"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, no hold-downs.",Story Drift Ratio,Ratio,1,Slight separation of sheathing or nails which come loose.,0.01,0.4,1.0
B2011.101-2,B2011.101,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.101,B2011,Exterior Wall,'','','','',"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, no hold-downs.",Story Drift Ratio,Ratio,2,"Permanent rotation of sheathing, tear out of nails or sheathing.",0.0175,0.4,1.0
B2011.101-3,B2011.101,NIST,FEMA P-58,'',,FEM-2018-SEI,B2011.101,B2011,Exterior Wall,'','','','',"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, no hold-downs.",Story Drift Ratio,Ratio,3,"Fracture of studs, major sill plate cracking.",0.025,0.4,1.0
