id,reference_id,specimen,reviewer,nistir_id,p58_db,p58_fragility,comp_type,sub_type,detailing,material,size_class,test_type,loading_protocol,peak_test_amplitude,location,design_objective,comp_description,ds_description,proir_damage,is_repaired,edp_metric,edp_unit,edp_value,alt_edp_metric,alt_edp_unit,alt_edp_value,ds_rank,ds_class,notes
exp1012a,LEE-2007-SEI,Specimen No. 3,NIST,C1011,TRUE,C1011.001d,Internal Partition Walls,Full height,Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Out of plane deformation of gypsum boards of orthogonal wall at corners,'',0,Story Drift Ratio,Ratio,0.01,'','',,,Consequential,''
exp1013a,LEE-2007-SEI,Specimen No. 3,NIST,C1011,TRUE,C1011.001d,Internal Partition Walls,Full height,Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Crushing of gypsum boards at corners of orthogonal wall,Out of plane deformation of gypsum boards of orthogonal wall at corners,0,Story Drift Ratio,Ratio,0.015,'','',,,Inconsequential,''
exp1014a,LEE-2007-SEI,Specimen No. 3,NIST,C1011,TRUE,C1011.001d,Internal Partition Walls,Full height,Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Crushing of gypsum boards at corners of inplane and orthogonal wall. ,Crushing of gypsum boards at corners of orthogonal wall,0,Story Drift Ratio,Ratio,0.04,'','',,,Consequential,''
exp1015a,LEE-2007-SEI,Specimen No. 3,NIST,C1011,TRUE,C1011.001d,Internal Partition Walls,Full height,Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Extended crushing of gypsum boards of inplane and orthogonal wall. ,Crushing of gypsum boards at corners of inplane and orthogonal wall.,0,Story Drift Ratio,Ratio,0.06,'','',,,Consequential,''
exp1016a,LEE-2007-SEI,Specimen No. 3,NIST,C1011,TRUE,C1011.001d,Internal Partition Walls,Full height,Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Detachment and falling of gypsum plasterboard on inplane wall,Extended crushing of gypsum boards of inplane and orthogonal wall.,0,Story Drift Ratio,Ratio,0.08,'','',,,Consequential,''
exp1017a,LEE-2007-SEI,Specimen No. 4,NIST,C1011,TRUE,C1011.001d,Internal Partition Walls,Full height,Sliding,CFS,'',"Dynamic, uniaxial","No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift of specimen,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Crushing of gypsum board at corners.,'',0,Story Drift Ratio,Ratio,0.01,'','',,,Consequential,''
exp1018a,LEE-2007-SEI,Specimen No. 4,NIST,C1011,TRUE,C1011.001d,Internal Partition Walls,Full height,Sliding,CFS,'',"Dynamic, uniaxial","No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift of specimen,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Joint cracks in vertical joints of gypsum boards,Crushing of gypsum board at corners.,0,Story Drift Ratio,Ratio,0.02,'','',,,Consequential,''
exp1019a,LEE-2007-SEI,Specimen No. 4,NIST,C1011,TRUE,C1011.001d,Internal Partition Walls,Full height,Sliding,CFS,'',"Dynamic, uniaxial","No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift of specimen,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Cracks in gypsum board,Joint cracks in vertical joints of gypsum boards,0,Story Drift Ratio,Ratio,0.04,'','',,,Consequential,''
exp1020a,LEE-2007-SEI,Specimen No. 4,NIST,C1011,TRUE,C1011.001d,Internal Partition Walls,Full height,Sliding,CFS,'',"Dynamic, uniaxial","No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift of specimen,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Detachment and falling of gypsum board ,Cracks in gypsum board,0,Story Drift Ratio,Ratio,0.1,'','',,,Consequential,''
exp1041a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",CNP100 (FB 1),"100% scale 
Peak inter-story drift =0.47%
Peak floor acceleration = 0.44g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,'',0,Story Drift Ratio,Ratio,0.0025,'','',,2,Inconsequential,''
exp1042a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",LAC100 (FB 2),"100% scale 
Peak inter-story drift =0.56%
Peak floor acceleration = 0.39g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,'',0,Story Drift Ratio,Ratio,0.0027,'','',,2,Inconsequential,''
exp1043a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",ICA50  (FB -3),"100% scale 
Peak inter-story drift =0.94%
Peak floor acceleration = 0.58g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,'',0,Story Drift Ratio,Ratio,0.0043,'','',,2,Inconsequential,''
exp1044a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",ICA100 (FB -4 ),"100% scale 
Peak inter-story drift =1.41%
Peak floor acceleration = 0.64g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,'',0,Story Drift Ratio,Ratio,0.0074,'','',,2,Inconsequential,''
exp1045a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",DEN67 ( FB-5),"100% scale 
Peak inter-story drift =2.75%
Peak floor acceleration = 0.99g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,'',0,Story Drift Ratio,Ratio,0.011,'','',,2,Inconsequential,''
exp1046a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",DEN100 (FB-6),"100% scale 
Peak inter-story drift =5.99%
Peak floor acceleration = 0.90g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,'',0,Story Drift Ratio,Ratio,0.0129,'','',,2,Inconsequential,''
exp1047a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",DEN67 ( FB-5),"100% scale 
Peak inter-story drift =2.75%
Peak floor acceleration = 0.99g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Yielding and permanent bending of flexing rod,'',0,Story Drift Ratio,Ratio,0.011,'','',,2,Consequential,''
exp1048a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",DEN100 (FB-6),"100% scale 
Peak inter-story drift =5.99%
Peak floor acceleration = 0.90g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Yielding and permanent bending of flexing rod,'',0,Story Drift Ratio,Ratio,0.0129,'','',,2,Consequential,''
exp1049a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",ICA50  (FB -3),"100% scale 
Peak inter-story drift =0.94%
Peak floor acceleration = 0.58g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Small cracking of ductile fuse at connection embed,'',0,Story Drift Ratio,Ratio,0.0043,'','',,1,Consequential,''
exp1050a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",ICA100 (FB -4 ),"100% scale 
Peak inter-story drift =1.41%
Peak floor acceleration = 0.64g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Small cracking of ductile fuse at connection embed,'',0,Story Drift Ratio,Ratio,0.0074,'','',,1,Inconsequential,''
exp1051a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",DEN67 ( FB-5),"100% scale 
Peak inter-story drift =2.75%
Peak floor acceleration = 0.99g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Small cracking of ductile fuse at connection embed,'',0,Story Drift Ratio,Ratio,0.011,'','',,1,Inconsequential,''
exp1052a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",DEN100 (FB-6),"100% scale 
Peak inter-story drift =5.99%
Peak floor acceleration = 0.90g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Small cracking of ductile fuse at connection embed,'',0,Story Drift Ratio,Ratio,0.0129,'','',,1,Inconsequential,''
exp1053a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",DEN67 ( FB-5),"100% scale 
Peak inter-story drift =2.75%
Peak floor acceleration = 0.99g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Slight permanent bending of ductile fuse at connection plate,'',0,Story Drift Ratio,Ratio,0.011,'','',,1,Inconsequential,''
exp1054a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,FALSE,'',Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,'',"Dynamic, uniaxial",DEN100 (FB-6),"100% scale 
Peak inter-story drift =5.99%
Peak floor acceleration = 0.90g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Large cracks (>0.5mm) and permanent bending (>20mm) at and of plate close to fuse embed,'',0,Story Drift Ratio,Ratio,0.0129,'','',,2,Consequential,''
