id,reference_id,specimen,specimen_inspection_sequence,reviewer,component_id,comp_detail,material,size_class,test_type,loading_protocol,peak_test_amplitude,location,governing_design_standard,design_objective,comp_description,ds_description,prior_damage,prior_damage_repaired,edp_metric,edp_unit,edp_value,alt_edp_metric,alt_edp_unit,alt_edp_value,ds_rank,ds_class,notes
exp1013a,LEE-2007-SEI,Specimen No. 3,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen",Crushing of gypsum boards at corners of orthogonal wall,Out of plane deformation of gypsum boards of orthogonal wall at corners,No,Story Drift Ratio,Ratio,0.015,'','',,,Inconsequential,''
exp1014a,LEE-2007-SEI,Specimen No. 3,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen",Crushing of gypsum boards at corners of inplane and orthogonal wall.,Crushing of gypsum boards at corners of orthogonal wall,No,Story Drift Ratio,Ratio,0.04,'','',,,Consequential,''
exp1015a,LEE-2007-SEI,Specimen No. 3,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen",Extended crushing of gypsum boards of inplane and orthogonal wall.,Crushing of gypsum boards at corners of inplane and orthogonal wall.,No,Story Drift Ratio,Ratio,0.06,'','',,,Consequential,''
exp1016a,LEE-2007-SEI,Specimen No. 3,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen",Detachment and falling of gypsum plasterboard on inplane wall,Extended crushing of gypsum boards of inplane and orthogonal wall.,No,Story Drift Ratio,Ratio,0.08,'','',,,Consequential,''
exp1017a,LEE-2007-SEI,Specimen No. 4,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Dynamic, uniaxial","No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Crushing of gypsum board at corners.,'',,Story Drift Ratio,Ratio,0.01,'','',,,Consequential,''
exp1018a,LEE-2007-SEI,Specimen No. 4,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Dynamic, uniaxial","No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Joint cracks in vertical joints of gypsum boards,Crushing of gypsum board at corners.,No,Story Drift Ratio,Ratio,0.02,'','',,,Consequential,''
exp1019a,LEE-2007-SEI,Specimen No. 4,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Dynamic, uniaxial","No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Cracks in gypsum board,Joint cracks in vertical joints of gypsum boards,No,Story Drift Ratio,Ratio,0.04,'','',,,Consequential,''
exp1020a,LEE-2007-SEI,Specimen No. 4,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Dynamic, uniaxial","No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift of specimen,Japan,'',drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Detachment and falling of gypsum board,Cracks in gypsum board,No,Story Drift Ratio,Ratio,0.1,'','',,,Consequential,''
exp1055a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",ICA50,Peak base input acceleration = 0.21g,"NHERI, U of California San Diego",'',"PIDR = 2.5% for building. Ceiling design with minimal or no seismic provisions, compression braces not used. Seismic design category A","Drywall Ceilings: ceilings attached to 7/8"" wall molding, no limits on clearance between ceiling and walls, no perimeter wires or bracing used.",Minor buckling of the tees in ceiling grid near the perimeter,'',,"Peak Floor Acceleration, horizontal",g,0.24,'','',,1.0,Inconsequential,''
exp1056a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",ICA50,Peak base input acceleration = 0.21g,"NHERI, U of California San Diego",'',"PIDR = 2.5% for building. Ceiling design with minimal or no seismic provisions, compression braces not used. Seismic design category C","Drywall Ceilings: not connected to any wall and at least 3/8"" clearance between ceiling and walls. No perimeter wires, no seismic bracing, and 7/8"" wall molding",Minor buckling of the tees in ceiling grid near the perimeter,'',,"Peak Floor Acceleration, horizontal",g,0.24,'','',,1.0,Inconsequential,''
exp1057a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",ICA100,Peak base input acceleration = 0.26g,"NHERI, U of California San Diego",'',"PIDR = 2.5% for building. Ceiling design with minimal or no seismic provisions, compression braces not used. Seismic design category A","Drywall Ceilings: ceilings attached to 7/8"" wall molding, no limits on clearance between ceiling and walls, no perimeter wires or bracing used.","Buckling of supporting tees near the perimeter,  and the incipient falling of a corner tile",Yes,No,"Peak Floor Acceleration, horizontal",g,0.28,'','',,2.0,Inconsequential,''
exp1058a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",ICA100,Peak base input acceleration = 0.26g,"NHERI, U of California San Diego",'',"PIDR = 2.5% for building. Ceiling design with minimal or no seismic provisions, compression braces not used. Seismic design category C","Drywall Ceilings: not connected to any wall and at least 3/8"" clearance between ceiling and walls. No perimeter wires, no seismic bracing, and 7/8"" wall molding","Buckling of supporting tees near the perimeter,  and the incipient falling of a corner tile",Yes,No,"Peak Floor Acceleration, horizontal",g,0.28,'','',,2.0,Inconsequential,''
exp1059a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",DEN67,Peak base input acceleration = 0.64g,"NHERI, U of California San Diego",'',"PIDR = 2.5% for building. Ceiling design with minimal or no seismic provisions, compression braces not used. Seismic design category A","Drywall Ceilings: ceilings attached to 7/8"" wall molding, no limits on clearance between ceiling and walls, no perimeter wires or bracing used.",Spreader bars surrounding columns popped off,Yes,No,"Peak Floor Acceleration, horizontal",g,0.57,'','',,3.0,Consequential,''
exp1060a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",DEN67,Peak base input acceleration = 0.64g,"NHERI, U of California San Diego",'',"PIDR = 2.5% for building. Ceiling design with minimal or no seismic provisions, compression braces not used. Seismic design category C","Drywall Ceilings: not connected to any wall and at least 3/8"" clearance between ceiling and walls. No perimeter wires, no seismic bracing, and 7/8"" wall molding",Couple of tiles per corner fell. Large gap between wall and ceiling drywall developed,Yes,No,"Peak Floor Acceleration, horizontal",g,0.57,'','',,3.0,Consequential,''
exp1061a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",DEN100,Peak base input acceleration = 0.80g,"NHERI, U of California San Diego",'',"PIDR = 2.5% for building. Ceiling design with minimal or no seismic provisions, compression braces not used. Seismic design category A","Drywall Ceilings: ceilings attached to 7/8"" wall molding, no limits on clearance between ceiling and walls, no perimeter wires or bracing used.","Buckling of supporting tees near the perimeter, failure of spreader bars and collapse of approximately 20% ceiling tiles",Yes,No,"Peak Floor Acceleration, horizontal",g,0.68,'','',,3.0,Consequential,''
exp1062a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",DEN100,Peak base input acceleration = 0.80g,"NHERI, U of California San Diego",'',"PIDR = 2.5% for building. Ceiling design with minimal or no seismic provisions, compression braces not used. Seismic design category C","Drywall Ceilings: ceilings attached to 7/8"" wall molding, no limits on clearance between ceiling and walls, no perimeter wires or bracing used.","Buckling of supporting tees near the perimeter, failure of spreader bars and collapse of approximately 20% ceiling tiles",Yes,No,"Peak Floor Acceleration, horizontal",g,0.68,'','',,3.0,Consequential,''
exp1063a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",LAC100,Peak base input acceleration = 0.18g,"NHERI, U of California San Diego",'',PIDR = 2.5% for building. Ceiling design for seismic design category D-F,"Drywall Ceilings: compression posts with splay wires  attached with anchors. Heavy duty grid and 7/8"" wall molding. Clips to allow 1/8"" slip at each connection and 3/4"" slip at walls (total ~2"" slip allowed). Perimeter wires on all walls and lateral bracing splay wires.",Minor buckling of tees in the lay-in ceilings,'',,"Peak Floor Acceleration, horizontal",g,0.44,'','',,1.0,Inconsequential,''
exp1064a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",CNP100,Peak base input acceleration = 0.21g,"NHERI, U of California San Diego",'',PIDR = 2.5% for building. Ceiling designed and installed as diaphragm.,Drywall Ceilings: tied directly to partition walls,Minor cracking of tape in the drywall ceilings,'',,"Peak Floor Acceleration, horizontal",g,0.32,'','',,1.0,Inconsequential,''
exp1065a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",CNP100,Peak base input acceleration = 0.21g,"NHERI, U of California San Diego",'',PIDR = 2.5% for building.,"Drywall Ceilings: wall moldings above drywall, clearance between two (out of four) walls for suspended ceiling to move, compression posts with lateral bracing splay wires",Minor cracking of tape in the drywall ceilings,'',,"Peak Floor Acceleration, horizontal",g,0.32,'','',,1.0,Inconsequential,''
exp1066a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",ICA100,Peak base input acceleration = 0.26g,"NHERI, U of California San Diego",'',PIDR = 2.5% for building. Ceiling designed and installed as diaphragm.,Drywall Ceilings: tied directly to partition walls,Widening of gap at caulking seam between ceiling and wall,Yes,No,"Peak Floor Acceleration, horizontal",g,0.5,'','',,2.0,Inconsequential,''
exp1067a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",DEN100,Peak base input acceleration = 0.80g,"NHERI, U of California San Diego",'',PIDR = 2.5% for building. Ceiling designed and installed as diaphragm.,Drywall Ceilings: tied directly to partition walls,"Cracking of tape in the drywall ceilings, horizontal gap initiated between the ceiling and the balloon framing, small opening at caulking at edge. Hairline cracks, one kicker buckled and detached at the wall.",Yes,No,"Peak Floor Acceleration, horizontal",g,0.66,'','',,2.0,Inconsequential,''
exp1068a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",DEN100,Peak base input acceleration = 0.80g,"NHERI, U of California San Diego",'',PIDR = 2.5% for building.,"Drywall Ceilings: wall moldings above drywall, clearance between two (out of four) walls for suspended ceiling to move, compression posts with lateral bracing splay wires","Cracking of tape in the drywall ceilings, two horizontal gaps between the ceiling and the balloon framing (~50mm and ~12mm) as well as hairline cracks",Yes,No,"Peak Floor Acceleration, horizontal",g,0.66,'','',,2.0,Inconsequential,''
exp1069a,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",DEN67,Peak base input acceleration = 0.64g,"NHERI, U of California San Diego",'',"PIDR = 2.5% for building. Ceiling were hospital-rated seismically designed, beyond design for seismic design category D-F","Drywall ceiling: designed for large loads of hospital equipment suspended from ceiling. Clips to provide 3/8""-1/2"" clearance. Hanger wires and lateral bracing was designed.",No Damage,'',,"Peak Floor Acceleration, horizontal",g,0.7,'','',,,Inconsequential,''
exp1069b,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",DEN67,Peak base input acceleration = 0.64g,"NHERI, U of California San Diego",'',"PIDR = 2.5% for building. Ceiling were hospital-rated seismically designed, beyond design for seismic design category D-F",Drywall ceiling: designed to support heavy equipment. System utilized hanger wires and was installed as a diaphragm.,No Damage,'',,"Peak Floor Acceleration, horizontal",g,0.69,'','',,,Inconsequential,''
exp1069c,PAN-2016-FUL,48.0,'',NIST,C3031.A,Grid/tiled,'','',"Dynamic, uniaxial",DEN67,Peak base input acceleration = 0.64g,"NHERI, U of California San Diego",'',"PIDR = 2.5% for building. Ceiling were hospital-rated seismically designed, beyond design for seismic design category D-F",Drywall ceiling: designed to represent hospital corridor with max allowed spacing of vertical hanger wires. System used lateral support bars and structural angle molding.,No Damage,'',,"Peak Floor Acceleration, horizontal",g,0.99,'','',,,Inconsequential,''
exp1070a,PAN-2016-FUL,Partition walls: Level 5,'',NIST,C1011.A,Full height,CFS,'',"Dynamic, uniaxial",ICA140  (BI -7),"100% scale 
Peak inter-story drift =0.34%
Peak floor acceleration = 0.26g","UCSD, California",'',advance the understanding of the seismic behavior of NCSs including their dynamic interactions amongst each other and with the structure,1. full-scale gypsum board CFS steel partitions.,Joint tape cracking,'',,Story Drift Ratio,Ratio,0.00064,'','',,1.0,Inconsequential,''
