id,reference_id,p58_fragility,component_id,comp_detail,material,size_class,comp_description
fra1013,TAO-2019-EXP,'',D4011.C,'','','',"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)"
fra1014,TAO-2019-EXP,'',D4011.C,'','','',"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)"
fra1015,TAO-2019-EXP,'',D4011.E,'','','',"Component level - 90◦ elbow joint connected with two 6"" (DN150) galvanized steel pipe  Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)"
fra1016,TAT-2018-INP,'',C1011.A,'','','',"The indoor partition wall is surrounded by structural elements on all sides, fixed on all sides"
fra1017,TAT-2018-INP,'',C1011.A,'','','',"The indoor partition wall is surrounded by structural elements on all sides, sliding connections on either horizontal or both horizontal and vertical  sides"
fra1018,TAT-2018-INP,'',C1011.A,'','','',"The indoor partition wall is surrounded by structural elements at top and bottom, fixed connection at horizontal sides"
fra1019,TAT-2018-INP,'',C1011.A,'','','',"The indoor partition wall is surrounded by structural elements at top and bottom, sliding connection at horizontal sides"
fra1020,DAV-2011-EXP,'',C1011.A,'','','',"Full-height commercial-slip tracks: Specimens 1–3, 31, and 32;"
fra1021,DAV-2011-EXP,'',C1011.A,'','','',"Full-height commercial-partial/full
connections:Specimens 4–10"
fra1022,DAV-2011-EXP,'',C1011.A,'','','',Full-height commercial-all
fra1023,DAV-2011-EXP,'',C1011.A,'','','',Full-height institutional-slip tracks: Specimens 20–22;
fra1024,DAV-2011-EXP,'',C1011.A,'','','',"Full-height institutional partial/full
connections: Specimens 23–28"
fra1025,DAV-2011-EXP,'',C1011.A,'','','',Full-height institutional-all
fra1026,DAV-2011-EXP,'',C1011.A,'','','',Partial-height: Specimens 17–19 and 48–50
fra1027,DAV-2011-EXP,'',C1011.A,'','','',Improved corner details: Specimens 33–36.
fra1028,GOO-2004-EXP,'',D4011.F,'','','',"⅛-inch diameter galvanized 7 x 19 (number of strands x wires per strand) aircraft-grade steel with a specified minimum break strength of 1700 pounds,
The cable support was threaded, and a screw was clamped on top."
fra1029,GOO-2004-EXP,'',D4011.G,'','','',5/8 in dia rods - pipe hangers
fra1030,SOR-2013-ANA,'',D4011.F,'','','',gauge 12 wire restrainers
B2011.001a,FEM-2018-SEI,B2011.001a,B2011.A,'','','',"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field."
B2011.001b,FEM-2018-SEI,B2011.001b,B2011.A,'','','',"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field."
B2011.011a,FEM-2018-SEI,B2011.011a,B2011.A,'','','',"Exterior Wall - Cold formed steel walls with flat strap X-bracing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws."
B2011.011b,FEM-2018-SEI,B2011.011b,B2011.A,'','','',"Exterior Wall - Cold formed steel walls with flat strap X-bracing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws."
B2011.021a,FEM-2018-SEI,B2011.021a,B2011.A,'','','',"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field."
B2011.021b,FEM-2018-SEI,B2011.021b,B2011.A,'','','',"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field."
B2011.101,FEM-2018-SEI,B2011.101,B2011.B,'','','',"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, no hold-downs."
B2011.102,FEM-2018-SEI,B2011.102,B2011.B,'','','',"Exterior Wall - Light framed wood walls with structural panel sheathing, stucco, hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, with hold-downs. Three layer 7/8"" stucco with 1/2-inch chop strand fibers applied over wire mesh fastened with 1.25 -inch long staples."
B2011.111,FEM-2018-SEI,B2011.111,B2011.B,'','','',"Exterior Wall - Light framed wood walls with structural panel sheathing, stucco no hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, with no hold-downs. Three layer 7/8"" stucco with 1/2-inch chop strand fibers applied over wire mesh fastened with 1.25 -inch long staples."
B2011.121,FEM-2018-SEI,B2011.121,B2011.B,'','','',"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard and hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, with hold-downs."
B2011.131,FEM-2018-SEI,B2011.131,B2011.B,'','','',Exterior Wall - Wood walls with diagonal let-in bracing - Costing for each 100 ft^2 Wall Panel. Assumed framing: Stud wall framing consists of 2 x 4’s at 16 inches on center with double top plates and single sill plate. Diagonal bracing includes 2 forms. Block-bracing consists of diagonal blocking between studs that extends from the top of one edge of the panel to the bottom of the opposite edge. Diagonal bracing may also consist of let-in bracing for which a 1x or 2x brace (with same inclination as described for block-bracing) is recessed into studs. Walls may be sheathed with horizontal or vertical lumber siding.
B2011.201a,FEM-2018-SEI,B2011.201a,B2011.C,'','','',Precast Concrete Panels 4.5 inches thick - in plane deformation - Costing is based upon 30'x13' panels.
B2011.201b,FEM-2018-SEI,B2011.201b,B2011.C,'','','',Precast Concrete Panels 4.5 inches thick - out of plane deformation - Costing is based upon 30'x13' panels.
B2022.001,FEM-2018-SEI,B2022.001,B2022.A,'','','',"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5, Other details Unknown - None"
B2022.002,FEM-2018-SEI,B2022.002,B2022.A,'','','',"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Insulating Glass Units (dual pane), Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5, Other details Unknown - None"
B2022.011,FEM-2018-SEI,B2022.011,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Asymmetric insulating glass units (dual-pane, unequal-thickness IGU), Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) inner AN / 1/2 in. (13 mm) outer AN LAM (0.030 PVB) IGU; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.021,FEM-2018-SEI,B2022.021,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN LAM (0.030 PVB); glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.022,FEM-2018-SEI,B2022.022,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN laminated, 2-sided SSG, Center Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None"
B2022.023,FEM-2018-SEI,B2022.023,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN laminated, 2-sided SSG, Outside Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None"
B2022.031,FEM-2018-SEI,B2022.031,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.032,FEM-2018-SEI,B2022.032,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0 in. (0 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.033,FEM-2018-SEI,B2022.033,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.13 in. (3 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.034,FEM-2018-SEI,B2022.034,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.25 in. (6 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.035,FEM-2018-SEI,B2022.035,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 2:1 sealant = dry - None"
B2022.036,FEM-2018-SEI,B2022.036,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1:2 sealant = dry - None"
B2022.037,FEM-2018-SEI,B2022.037,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic, 2-sided SSG, Center Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None"
B2022.038,FEM-2018-SEI,B2022.038,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic, 2-sided SSG, Outside Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None"
B2022.039,FEM-2018-SEI,B2022.039,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.040,FEM-2018-SEI,B2022.040,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 2:1 sealant = dry - None"
B2022.041,FEM-2018-SEI,B2022.041,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1:2 sealant = dry - None"
B2022.051,FEM-2018-SEI,B2022.051,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 1/4 in. (6 mm) FT monolithic, 2-sided SSG, Center Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None"
B2022.052,FEM-2018-SEI,B2022.052,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 1/4 in. (6 mm) FT monolithic, 2-sided SSG, Outside Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None"
B2022.053,FEM-2018-SEI,B2022.053,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 1/4 in. (6 mm) FT monolithic, Seamed Edge; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.054,FEM-2018-SEI,B2022.054,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 1/4 in. (6 mm) FT monolithic, Polished Edge; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.061,FEM-2018-SEI,B2022.061,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Heat strengthened, Details: 1/4 in. (6 mm) HS monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.071,FEM-2018-SEI,B2022.071,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) inner AN / 1/4 in. (6 mm) outer AN LAM (0.030 PVB) IGU; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.072,FEM-2018-SEI,B2022.072,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) inner AN / 1/4 in. (6 mm) outer AN LAM (0.060 PVB) IGU; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.081,FEM-2018-SEI,B2022.081,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN insulating glass unit (IGU) [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.082,FEM-2018-SEI,B2022.082,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.25 in. (6 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.083,FEM-2018-SEI,B2022.083,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU [1/4 in. (6 mm) inner and outer panes], 2-sided SSG, Center Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None"
B2022.084,FEM-2018-SEI,B2022.084,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU [1/4 in. (6 mm) inner and outer panes], 2-sided SSG, Outside Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None"
B2022.091,FEM-2018-SEI,B2022.091,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.101,FEM-2018-SEI,B2022.101,B2022.A,'','','',"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Heat strengthened, Details: 1 in. (25 mm) HS IGU [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None"
B2022.201,FEM-2018-SEI,B2022.201,B2022.C,'','','',"Curtain Walls - Unitized curtain wall (also generic unitized curtain wall), Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1-1/4 in. (32 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], 4-sided SSG, VHBTM SGTTM; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = Varies sealant = wet - None"
B2023.001,FEM-2018-SEI,B2023.001,B2023.A,'','','',"Generic Storefront, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5, Other details Unknown - None"
B2023.002,FEM-2018-SEI,B2023.002,B2023.A,'','','',"Generic Storefront, Config: IGU, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5, Other details Unknown - None"
B2023.011,FEM-2018-SEI,B2023.011,B2023.A,'','','',"Storefront, Config: Monolithic, Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN LAM (0.030 PVB); glass-frame clearance = 0.41 in. (10 mm); aspect ratio = 6:5 sealant = dry - None"
B2023.021,FEM-2018-SEI,B2023.021,B2023.A,'','','',"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.41 in. (10 mm); aspect ratio = 6:5 sealant = dry - None"
B2023.031,FEM-2018-SEI,B2023.031,B2023.A,'','','',"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 3/8 in. (10 mm) FT monolithic, Planar Specimen; glass-frame clearance = 0.5 in. (13 mm); aspect ratio = 1.93:1 sealant = wet - None"
B2023.032,FEM-2018-SEI,B2023.032,B2023.A,'','','',"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 3/8 in. (10 mm) FT monolithic, Corner Cond. Specimen, in-plane; glass-frame clearance = 0.5 in. (13 mm); aspect ratio = 1.93:1 sealant = wet - None"
B2023.033,FEM-2018-SEI,B2023.033,B2023.A,'','','',"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 3/8 in. (10 mm) FT monolithic, Corner Cond. Specimen, combined; glass-frame clearance = 0.5 in. (13 mm); aspect ratio = 1.93:1 sealant = wet - None"
B2023.034,FEM-2018-SEI,B2023.034,B2023.A,'','','',"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 3/8 in. (10 mm) FT monolithic, Corner Cond. Specimen, Short side; glass-frame clearance = 0.5 in. (13 mm); aspect ratio = 2.72:1 sealant = wet - None"
B2023.041,FEM-2018-SEI,B2023.041,B2023.A,'','','',"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU; glass-frame clearance = 0.59 in. (15 mm); aspect ratio = 6:5 sealant = dry - None"
B2023.051,FEM-2018-SEI,B2023.051,B2023.A,'','','',"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Planar Specimen; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.89:1 sealant = dry - None"
B2023.052,FEM-2018-SEI,B2023.052,B2023.A,'','','',"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, in-plane; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.89:1 sealant = dry - None"
B2023.053,FEM-2018-SEI,B2023.053,B2023.A,'','','',"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, combined; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.89:1 sealant = dry - None"
B2023.054,FEM-2018-SEI,B2023.054,B2023.A,'','','',"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, Short side; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 2.83:1 sealant = dry - None"
B2023.055,FEM-2018-SEI,B2023.055,B2023.A,'','','',"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Planar Specimen; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.88:1 sealant = dry - None"
B2023.056,FEM-2018-SEI,B2023.056,B2023.A,'','','',"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, in-plane; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.88:1 sealant = dry - None"
B2023.057,FEM-2018-SEI,B2023.057,B2023.A,'','','',"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, combined; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.88:1 sealant = dry - None"
B2023.058,FEM-2018-SEI,B2023.058,B2023.A,'','','',"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, Short side; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 2.82:1 sealant = dry - None"
B3011.011,FEM-2018-SEI,B3011.011,B3011.A,'','','',"Concrete tile roof, tiles secured and compliant with UBC94 - Costing per roofing square (100 SF)"
B3011.012,FEM-2018-SEI,B3011.012,B3011.B,'','','',"Clay tile roof, tiles secured and compliant with UBC94 - Costing per roofing square (100 SF)"
B3011.013,FEM-2018-SEI,B3011.013,B3011.A,'','','',"Concrete tile roof, unsecured tiles - Costing per roofing square (100 SF)"
B3011.014,FEM-2018-SEI,B3011.014,B3011.B,'','','',"Clay tile roof, unsecured tiles - Costing per roofing square (100 SF)"
B3031.001a,FEM-2018-SEI,B3031.001a,B2012.A,'','','',"Masonry Chimney - unreinforced, non industrial, above roof 5 ft, replace with masonry - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors."
B3031.001b,FEM-2018-SEI,B3031.001b,B2012.A,'','','',"Masonry Chimney - unreinforced, non industrial, above roof 10 ft, replace with masonry - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors."
B3031.001c,FEM-2018-SEI,B3031.001c,B2012.A,'','','',"Masonry Chimney - unreinforced, non industrial, above roof 15 ft, replace with masonry - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors."
B3031.002a,FEM-2018-SEI,B3031.002a,B2012.A,'','','',"Masonry Chimney - unreinforced, non industrial, above roof 5 ft, replace with framing - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors."
B3031.002b,FEM-2018-SEI,B3031.002b,B2012.A,'','','',"Masonry Chimney - unreinforced, non industrial, above roof 10 ft, replace with framing - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors."
